Spectrum	Date	Time	H2O% 191C	CO ppm 191C (1of2)	CO% 191C (2of2)	CO2% 191C	Temp (C)	Pressure (Atm)	H2O% 191C resid	CO ppm 191C (1of2) resid	CO% 191C (2of2) resid	CO2% 191C resid	Igram DC	Igram PP	phase Angle	laser PP	laser DC	Bad Scan counter	Centerburst Location	Linearizer Check	SNR 2500	sBeam @ 2500	
N/A	12/19/2016	16:53:06.583	0.042008	8812.918233	1.013228	0.485240	190.221283	1.009339	0.038658	138.831352	0.012862	0.904229	2.093061	7.145370	86.823532	4.862745	-5.019608	1.000000	1126.631958	0.003312	1470.283813	0.737021
N/A	12/19/2016	16:53:26.174	0.049577	8814.458244	1.012643	0.484327	190.215927	1.009390	0.037189	138.994730	0.012861	0.903763	2.092754	7.145134	86.823532	4.901961	-5.019608	1.000000	1126.680786	0.003242	1659.349609	0.736982
N/A	12/19/2016	16:53:45.798	0.044001	8833.291744	1.015665	0.481773	190.199860	1.009373	0.036251	139.294985	0.012812	0.903610	2.093840	7.145887	86.823532	4.862745	-5.019608	1.000000	1126.569336	0.003267	1677.233643	0.736799
N/A	12/19/2016	16:54:05.422	0.048846	8833.180627	1.017571	0.488972	190.157013	1.009356	0.036718	139.497183	0.013041	0.902053	2.097086	7.147499	87.529411	4.784314	-5.019608	1.000000	1126.622681	0.003392	1719.172607	0.737439
N/A	12/19/2016	16:54:25.046	0.054105	8888.746337	1.019695	0.498877	190.167725	1.009373	0.036957	139.601510	0.012904	0.905853	2.097324	7.147963	86.117645	4.941176	-5.019608	1.000000	1126.607300	0.003317	1835.881470	0.737626
N/A	12/19/2016	16:54:44.670	0.050445	8828.630995	1.015239	0.482161	190.215927	1.009423	0.036261	139.716456	0.012856	0.903835	2.095419	7.147301	87.529411	4.823529	-5.019608	1.000000	1126.512451	0.003094	1821.342651	0.737072
N/A	12/19/2016	16:55:04.293	0.047949	8868.975145	1.019220	0.486421	190.221283	1.009390	0.036272	140.704514	0.012612	0.902789	2.100844	7.149450	86.823532	4.941176	-5.019608	1.000000	1126.541626	0.003215	1387.703491	0.737581
N/A	12/19/2016	16:55:23.917	0.051142	8903.861028	1.024523	0.473335	190.205215	1.009322	0.035422	138.754419	0.012975	0.903770	2.102221	7.150499	86.823532	4.823529	-5.019608	1.000000	1126.511597	0.003290	2187.448975	0.738033
N/A	12/19/2016	16:55:43.541	0.054452	8933.127948	1.024186	0.472532	190.285538	1.009390	0.035319	140.878511	0.012908	0.904107	2.104004	7.151180	86.117645	4.941176	-5.019608	1.000000	1126.551636	0.003288	1416.008911	0.738268
N/A	12/19/2016	16:56:03.164	0.040639	8918.994072	1.024215	0.491934	190.258759	1.009373	0.035228	139.856830	0.012899	0.901741	2.101096	7.149408	87.529411	4.784314	-5.019608	1.000000	1126.555786	0.003360	1816.177124	0.737523
